ngày yêu thương	nguyễn hồng ân	ngay-yeu-thuong-nguyen-hong-an
một ngày vắng em	takej minh huy	mot-ngay-vang-em-takej-minh-huy
chuyện nhỏ	đoàn phi	chuyen-nho-doan-phi
từng khoảnh khắc ấy	đỗ phú quí	tung-khoanh-khac-ay-do-phu-qui
sợi tình	đinh hùng cường	soi-tinh-dinh-hung-cuong
thôi ( cha cha cha )	lý hải	thoi-cha-cha-cha-ly-hai
rồi cũng xa nhau thôi	phan thiên ngân	roi-cung-xa-nhau-thoi-phan-thien-ngan
để em đi	kick	de-em-di-kick
dấu tình sầu	ngọc ánh idol	dau-tinh-sau-ngoc-anh-idol
bước đều bước (prod.masew)	b ray masew	buoc-deu-buoc-prod-masew-b-ray-masew
đêm trong căn nhà ma	lon ton	dem-trong-can-nha-ma-lon-ton
liên khúc ngày xưa anh nói	thạch thảo vũ hoàng	lien-khuc-ngay-xua-anh-noi-vu-hoang-thach-thao
bài ca chiến sĩ công an	hoàng minh thắng	bai-ca-chien-si-cong-an-hoang-minh-thang
dấu chân phong trần	salem tuấn tấn bo	dau-chan-phong-tran-salem-tuan-tan-bo
tôi thương tôi thật thà	phạm hồng phước	toi-thuong-toi-that-tha-pham-hong-phuoc
đường nào đến trái tim em	the wings band	duong-nao-den-trai-tim-em-the-wings-band
ngắm sự đời	hàn thái tú	ngam-su-doi-han-thai-tu
nếu chúng mình cách trở (tân cổ)	mạnh quỳnh phi nhung	neu-chung-minh-cach-tro-tan-co-manh-quynh-phi-nhung
liên khúc phúc giao thừa lặng lẽ	bích tuyền ngọc sơn	lien-khuc-phuc-giao-thua-lang-le-ngoc-son-bich-tuyen
là nơi nỗi nhớ quay lại	eddykey	la-noi-noi-nho-quay-lai-eddykey
nỗi nhớ nào nguôi	chubi trần	noi-nho-nao-nguoi-tran-phuc-nhuan
chim ơi bay đi	bé khánh tường	chim-oi-bay-di-be-khanh-tuong
độ nhân không độ quả	dương lê quang	do-nhan-khong-do-qua-duong-le-quang
còn trong cơn mơ	bằng cường	con-trong-con-mo-bang-cuong
chỉ mình em còn nhớ	thanh trúc	chi-minh-em-con-nho-thanh-truc
mênh mông tình mẹ	đoan trang	menh-mong-tinh-me-doan-trang
một thoáng quê huơng	hồng nhung	mot-thoang-que-huong-hong-nhung
em khóc vì anh	lyna thùy linh	em-khoc-vi-anh-lyna-thuy-linh
giới hạn cuối	kavie trần	gioi-han-cuoi-kavie-tran
em hãy cứ đi đi	hoàng trọng lâm	em-hay-cu-di-di-hoang-trong-lam
ngôi sao cảm	phùng ngọc huy	ngoi-sao-cam-phung-ngoc-huy
yêu em bằng cả trái tim	lâm chấn huy	yeu-em-bang-ca-trai-tim-lam-chan-huy
đổ lỗi	ân khải minh	do-loi-an-khai-minh
em đã cho tôi một lần đau	lương tùng quang	em-da-cho-toi-mot-lan-dau-luong-tung-quang
màu xanh trong mắt em	nsưt thanh ngân tống hạo nhiên	mau-xanh-trong-mat-em-nsut-thanh-ngan-tong-hao-nhien
nói hết lòng mình	liz kim cương	noi-het-long-minh-liz-kim-cuong
đến trong cơn mơ	trung quân	den-trong-con-mo-trung-quan
người đứng phía sau	cường hamster dykey nhân enti tk	nguoi-dung-phia-sau-cuong-hamster-dykey-nhan-enti-tk
vì thế	trình lâm	vi-the-trinh-lam
yêu làm chi làm chi	duyên anh idol	yeu-lam-chi-lam-chi-duyen-anh-idol
sẽ không còn chia đôi	hồ khánh long	se-khong-con-chia-doi-ho-khanh-long
khi ngày sau	tiên cookie	khi-ngay-sau-tien-cookie
anh mong thế thôi	hồ trung dũng	anh-mong-the-thoi-ho-trung-dung
giúp anh trả lời những câu hỏi	kim bảo	giup-anh-tra-loi-nhung-cau-hoi-kim-bao
yêu trong ảo mộng	lâm chấn huy	yeu-trong-ao-mong-lam-chan-huy
điều uớc đêm valentine	trương quỳnh anh	dieu-uoc-dem-valentine-truong-quynh-anh
khi đời trắng tay	vân quang long	khi-doi-trang-tay-van-quang-long
một lần hạnh phúc	cao anh trương hy văn	mot-lan-hanh-phuc-cao-anh-truong-hy-van
bông hồng dâng cha mẹ (ca cổ)	bích phượng	bong-hong-dang-cha-me-ca-co-bich-phuong
tình đau & yêu nhau bốn mùa	như loan quỳnh vi	tinh-dau-yeu-nhau-bon-mua-nhu-loan-quynh-vi
maria - mẹ vô nhiễm	diệu hiền	maria-me-vo-nhiem-dieu-hien
nghe chưa hết bài tình ca rơi chưa hết nước mắt	tuấn nguyễn	nghe-chua-het-bai-tinh-ca-roi-chua-het-nuoc-mat-tuan-nguyen
lk dù anh nghèo	nguyễn hoàng nam	lk-du-anh-ngheo-nguyen-hoang-nam
lời ru của mẹ.	quỳnh hoa	loi-ru-cua-me-quynh-hoa
vu vơ	joker's rule	vu-vo-joker-s-rule
hạng võ - ngưu cơ	nsut lê hồng thắm	hang-vo-nguu-co-nsut-le-hong-tham
bàn tay cô giáo	bé bảo an	ban-tay-co-giao-be-bao-an
chủ nhật này trẫm có nhớ ái khánh không?	trường sơn	chu-nhat-nay-tram-co-nho-ai-khanh-khong-truong-son
luôn cần mẹ bên con	vũ yến ngọc	luon-can-me-ben-con-vu-yen-ngoc
nhớ thầy cô bạn bè	đường hưng	nho-thay-co-ban-be-duong-hung-tam-ho
chiều đông thương nhớ	trường sơn	chieu-dong-thuong-nho-truong-son
mất hy vọng	phan mạnh quỳnh	mat-hy-vong-phan-manh-quynh
mai đi học	bé bảo an	mai-di-hoc-be-bao-an
giáng sinh bên người	quốc cường	giang-sinh-ben-nguoi-quoc-cuong
nỗi nhớ dịu êm	hoàng hải thoại	noi-nho-diu-em-hoang-hai-thoai
ước mơ xuân	bé bạch lê quỳnh anh	uoc-mo-xuan-be-bach-le-quynh-anh
muốn nói với anh	hồ ngọc hà	muon-noi-voi-anh-ho-ngoc-ha
ngày mai bên nhau	lệ quyên	ngay-mai-ben-nhau-le-quyen
nhìn mai con khóc	jimmi jc nguyễn	nhin-mai-con-khoc-jimmi-jc-nguyen
cứ yêu đi nào	v.o.x	cu-yeu-di-nao-v-o-x
đành để đêm trôi	hồ quốc việt lk	danh-de-dem-troi-ho-quoc-viet-lk
chẳng thể buông tay	hà chiêu tường	chang-the-buong-tay-ha-chieu-tuong
đêm giao thừa	ánh tuyết	dem-giao-thua-anh-tuyet
chiều mưa xứ huế	thiên bảo	chieu-mua-xu-hue-thien-bao
rối	kaisoul	roi-kaisoul
người đổi thay	cao tùng anh	nguoi-doi-thay-cao-tung-anh
gió bấc	cẩm ly	gio-bac-cam-ly
nụ hôn trở lại	triều hải	nu-hon-tro-lai-trieu-hai
hãy xem nhau như người xa lạ	thái tuyết trâm	hay-xem-nhau-nhu-nguoi-xa-la-thai-tuyet-tram
thôi đừng khóc	trương thế vinh	thoi-dung-khoc-truong-the-vinh
làm sao để tốt cho cả hai	nguyên vũ	lam-sao-de-tot-cho-ca-hai-nguyen-vu
khúc ca biệt ly	hà thái hoàng	khuc-ca-biet-ly-ha-thai-hoang
cha ơi cha ở đâu	vũ hoàng	cha-oi-cha-o-dau-vu-hoang
tuổi mộng mơ	3 con mèo	tuoi-mong-mo-3-con-meo
chiều quê mẹ	bằng chương	chieu-que-me-bang-chuong
tân cổ lý chim quyên	nguyễn linh ngọc nhung	tan-co-ly-chim-quyen-nguyen-linh-ngoc-nhung
dù cho có sợ tui vẫn cứ chơi	nhật cường	du-cho-co-so-tui-van-cu-choi-nhat-cuong
tango chân tình	cao sỹ hùng	tango-chan-tinh-cao-sy-hung
mashup buồn thất tình	nhiều nghệ sĩ	mashup-buon-that-tinh-rik-ledk-juongb-lil-one-huyen-mikii
học trò trường làng	song giang	hoc-tro-truong-lang-hong-an-song-giang
cuối cùng ta chẳng có nhau	tiêu hồng nhi	cuoi-cung-ta-chang-co-nhau-tieu-hong-nhi
cứ bước đi cùng nhau	espelune	cu-buoc-di-cung-nhau-espelune
một chiều mưa	dalena	mot-chieu-mua-dalena
dấu vết	wanbi tuấn anh	dau-vet-wanbi-tuan-anh
kiếp đa tình	phan đinh tùng	kiep-da-tinh-phan-dinh-tung
sẽ không còn	nam tuyên	se-khong-con-nam-tuyen
người giỏi chăn nuôi	vân khánh	nguoi-gioi-chan-nuoi-van-khanh
nhớ mãi một hình bóng	triệu minh	nho-mai-mot-hinh-bong-trieu-minh
anh chỉ cần như thế	phạm trưởng	anh-chi-can-nhu-the-pham-truong
bóng trăng xưa	bích phượng	bong-trang-xua-bich-phuong
chỉ có thể là anh	bảo anh	chi-co-the-la-anh-bao-anh
thiên sứ bâng khuâng	hiền thục	thien-su-bang-khuang-hien-thuc
tinh yêu trả lại trăng sao	tâm đoan	tinh-yeu-tra-lai-trang-sao-tam-doan
bạn hữu thân tình	lý hào nam vương triệu anh	ban-huu-than-tinh-vuong-trieu-anh-ly-hao-nam
màu mắt lạnh	hero band	mau-mat-lanh-hero-band
hãy giữ lấy hẹn thề	phương thu	hay-giu-lay-hen-the-phuong-thu
ảo mộng (the phantom of the opera)	dalena henry chúc	ao-mong-the-phantom-of-the-opera-dalena-henry-chuc
chờ đợi lời chia tay	chí thiện	cho-doi-loi-chia-tay-chi-thien
em nơi đây vẫn chờ	phạm thanh thảo	em-noi-day-van-cho-pham-thanh-thao
yêu em câu hò	lâm quang long	yeu-em-cau-ho-lam-quang-long
lạc bước	bảo vy	lac-buoc-bao-vy
những khi xa em	vân du	nhung-khi-xa-em-van-du
không còn yêu anh	apo band minh béo	khong-con-yeu-anh-minh-beo-apo-band
lạc nhau hai con đường	tăng quỳnh my	lac-nhau-hai-con-duong-tang-quynh-my
lời hứa không thật lòng	lâm quang long	loi-hua-khong-that-long-lam-quang-long
niềm đau riêng anh	ngô kiến huy	niem-dau-rieng-anh-ngo-kien-huy
mùa đông	nathan lee	mua-dong-nathan-lee
yêu em hơn ngàn lời nói	lý hoàng	yeu-em-hon-ngan-loi-noi-ly-hoang
tình yêu lại ra đi	bằng cường	tinh-yeu-lai-ra-di-bang-cuong
trở lại huế xưa	lương viết quang	tro-lai-hue-xua-luong-viet-quang
chủ nhật tình yêu (dj turbo)	quang hà	chu-nhat-tinh-yeu-dj-turbo-quang-ha
lk những chuyện tình mong manh - tình trong mưa - chuyện buồn tình yêu - đồi thông hai mộ	hương lan thế sơn	lk-nhung-chuyen-tinh-mong-manh-tinh-trong-mua-chuyen-buon-tinh-yeu-doi-thong-hai-mo-huong-lan-the-son
mãi mãi mất em	mr reno	mai-mai-mat-em-reno-binh
người tình em mong anh	phương trang	nguoi-tinh-em-mong-anh-phuong-trang
suốt đời bên em	nguyễn đông	suot-doi-ben-em-nguyen-dong
này	hà anh tuấn	nay-ha-anh-tuan
vẫn biết em còn yêu	hải nguyên	van-biet-em-con-yeu-hai-nguyen
ác mộng hay ký ức	quỳnh nga	ac-mong-hay-ky-uc-quynh-nga
tình em mùa xuân	nathan lee	tinh-em-mua-xuan-nathan-lee
năm liệu bảy lo	thúy cải	nam-lieu-bay-lo-thuy-cai
phải chi khoảng cách đừng quá xa	đình dương	phai-chi-khoang-cach-dung-qua-xa-dinh-duong
gọi em là đóa hoa sầu	duy quang	goi-em-la-doa-hoa-sau-duy-quang
phan rang gió nắng	dương ngọc thái nguyên chấn phong	phan-rang-gio-nang-nguyen-chan-phong-duong-ngoc-thai
phi điệp năm cánh trắng tôi yêu	trường sơn	phi-diep-nam-canh-trang-toi-yeu-truong-son
lời chúc xuân	tam ca áo trắng	loi-chuc-xuan-tam-ca-ao-trang
mong em nghĩ lại	huy nam (a#)	mong-em-nghi-lai-huy-nam-a
xuân này con sẽ về (tân cổ)	bạch tuyết long nhật	xuan-nay-con-se-ve-tan-co-long-nhat-bach-tuyet
vẫn biết	thanh xuân	van-biet-thanh-xuan
em đã từng yêu	băng châu trần	em-da-tung-yeu-bang-chau-tran
tránh người yêu tôi ra	đào nguyễn ánh	tranh-nguoi-yeu-toi-ra-dao-nguyen-anh
tình yêu tình người	lâm nhật tiến nguyễn hồng nhung	tinh-yeu-tinh-nguoi-nguyen-hong-nhung-lam-nhat-tien
hết rồi tình ơi	cao tùng huy	het-roi-tinh-oi-cao-tuan-thien
ký ức tìm về	quang hà	ky-uc-tim-ve-quang-ha
gieo nhân nào gặp quả ấy	mai anh bảo	gieo-nhan-nao-gap-qua-ay-mai-anh-bao
cho anh khóc đêm nay thôi	nguyễn đình vũ	cho-anh-khoc-dem-nay-thoi-nguyen-dinh-vu
ngẩng mặt	bảo thy	ngang-mat-bao-thy
catinat cà phê sáng	kasim hoàng vũ	catinat-ca-phe-sang-kasim-hoang-vu
mùa đông năm ấy	hồng ân	mua-dong-nam-ay-hong-an
úm ba la tuổi thơ em	triệu trang	um-ba-la-tuoi-tho-em-trieu-trang
rung lá trầu duyên	lâm chí khanh	rung-la-trau-duyen-lam-chi-khanh
ngày mưa	asa vompc	ngay-mua-asa-vompc
tình riêng	sendoh	tinh-rieng-sendoh
rap về saitama	phan ann	rap-ve-saitama-phan-ann
liên khúc: nỗi buồn hoa phượng-hoa học trò	phi nhung đàm vĩnh hưng	lien-khuc-noi-buon-hoa-phuong-hoa-hoc-tro-dam-vinh-hung-phi-nhung
mông lung	tinna tình	mong-lung-tinna-tinh
cảm ơn một niềm đau	hoàng anh cường	cam-on-mot-niem-dau-hoang-anh-cuong
có nhớ tình đầu	lê hiếu	co-nho-tinh-dau-le-hieu
một cuốn phim buồn	khánh phương	mot-cuon-phim-buon-khanh-phuong
con rồng việt nam	135 band	con-rong-viet-nam-135-band
đường hai ngã người thương thành lạ	ngô duy khiêm	duong-hai-nga-nguoi-thuong-thanh-la-ngo-duy-khiem
chuyện đã cũ	a.t.l. tổi vn	chuyen-da-cu-toi-vn-a-t-l
phải duyên hay nợ	hamlet trương	phai-duyen-hay-no-hamlet-truong
bức thư tình không tem	vĩnh thuyên kim	buc-thu-tinh-khong-tem-vinh-thuyen-kim
nhìn mưa	macthediablo	nhin-mua-macthediablo
phím dương cầm lặng	la nhật tiến	phim-duong-cam-lang-la-nhat-tien
quỳnh thuận trong tim tôi	quốc cường	quynh-thuan-trong-tim-toi-quoc-cuong
thuở ấy có em	dương thanh sang	thuo-ay-co-em-duong-thanh-sang
ước mơ của chú bé gỗ	xuân nghi	uoc-mo-cua-chu-be-go-xuan-nghi
cung đàn có em	châu ngọc tiên	cung-dan-co-em-chau-ngoc-tien
liên khúc: tình ca bất tử	di yến quỳnh	lien-khuc-tinh-ca-bat-tu-di-yen-quynh
yêu lai từ đầu	don hồ ngọc huệ	yeu-lai-tu-dau-ngoc-hue-don-ho
tuyết (雪)	trần ngọc bảo	tuyet-tran-ngoc-bao
tình đầu mãi yêu	huy vũ	tinh-dau-mai-yeu-huy-vu
hai giờ sáng	atm	hai-gio-sang-atm
đừng vội đi	j.lee jay wang	dung-voi-di-jay-wang-j-lee
trái tim khó xử	lê nhật du phương vĩnh thuyên kim	trai-tim-kho-xu-le-nhat-du-phuong-vinh-thuyen-kim
ai lên xứ hoa đào	bùi tuyết mai	ai-len-xu-hoa-dao-bui-tuyet-mai
mảnh ghép hoàn hảo	đông hùng	manh-ghep-hoan-hao-dong-hung
thân sầu hồn bướm	ái xuân	than-sau-hon-buom-ai-xuan
nước mắt đơn phương	lâm chấn huy	nuoc-mat-don-phuong-lam-chan-huy
nỗi đau không thể xóa	khánh duy khương	noi-dau-khong-the-xoa-khanh-duy-khuong
giọt lệ tình	hồ anh dũng	giot-le-tinh-ho-anh-dung
nếu em có hai trái tim	phan tùng nguyên	neu-em-co-hai-trai-tim-phan-tung-nguyen
trước biển thở dài	nguyễn đức	truoc-bien-tho-dai-nguyen-duc
thương hoài hai tiếng cải lương	giang mỹ huyền kỳ thiên anh	thuong-hoai-hai-tieng-cai-luong-ky-thien-anh-giang-my-huyen
nếu hai đứa mình	chế thanh	neu-hai-dua-minh-che-thanh
giá như chưa bắt đầu	đào mạnh hùng	gia-nhu-chua-bat-dau-dao-manh-hung
nửa vầng trăng	hương ngọc vân	nua-vang-trang-huong-ngoc-van
lk mẹ tôi	nhuận thanh	lk-me-toi-nhuan-thanh
xuân trên đất khách	huỳnh tân	xuan-tren-dat-khach-huynh-tan
đêm nay em cô đơn	hạ vy	dem-nay-em-co-don-ha-vy
miền ký ức mùa đông	ronzny	mien-ky-uc-mua-dong-ronzny
cho em thôi chòng chành	phạm phương thảo	cho-em-thoi-chong-chanh-pham-phuong-thao
biển chiều long hải	hoàng hải đăng	bien-chieu-long-hai-hoang-hai-dang
hạnh phúc là chia tay	quang mask	hanh-phuc-la-chia-tay-quang-vboy
vậy là mình xa nhau	đàm vĩnh hưng	vay-la-minh-xa-nhau-dam-vinh-hung
không thể níu kéo	nam hùng	khong-the-niu-keo-nam-hung
tình địch không em?	enbi tobby quốc trung	tinh-dich-khong-em-tobby-quoc-trung-enbi
thương lục bình trôi	tấn lợi	thuong-luc-binh-troi-tan-loi
cần anh hơn thế (i gotta feeling)	sgirls	can-anh-hon-the-i-gotta-feeling-sgirls
mứt hoa quả các loại	gạt tàn đầy	mut-hoa-qua-cac-loai-gat-tan-day
sao không hiểu anh	renny hiếu	sao-khong-hieu-anh-renny-hieu
vội quên	lưu quang anh	voi-quen-luu-quang-anh
xuân và mẹ	trà trung trực	xuan-va-me-tra-trung-truc
ngọn đuốc tình mẹ	thạch thảo vũ hoàng	ngon-duoc-tinh-me-vu-hoang-thach-thao
liên khúc biết đến bao giờ	phước lộc	lien-khuc-biet-den-bao-gio-phuoc-loc
tình như áng mây	huy mc thu phương	tinh-nhu-ang-may-thu-phuong-huy-mc
mùa đông ấm áp	duyên anh idol quách tuấn du	mua-dong-am-ap-quach-tuan-du-duyen-anh-idol
tâm tình người thủy thủ	quang thọ	tam-tinh-nguoi-thuy-thu-quang-tho
chuyện ngày thơ	sỹ ben	chuyen-ngay-tho-sy-ben
ngoảnh mặt	fony trung	ngoanh-mat-fony-trung
giữ lấy tháng năm (again)	thanh bùi	giu-lay-thang-nam-again-thanh-bui
quảng ngãi yêu thương	hồng xương long	quang-ngai-yeu-thuong-hong-xuong-long
sao anh vô tình	mỹ dung	sao-anh-vo-tinh-my-dung
dòng sông và nỗi nhớ	bảo vân	dong-song-va-noi-nho-bao-van
yêu cái mặn mà	hữu khương	yeu-cai-man-ma-huu-khuong
tặng em một bầu trời	lương gia huy	tang-em-mot-bau-troi-luong-gia-huy
mưa tháng ba	the heaven	mua-thang-ba-the-heaven
hò, ví (thử lòng chung thủy)	lệ thanh	ho-vi-thu-long-chung-thuy-le-thanh
con đò quê mẹ	tuấn phong	con-do-que-me-tuan-phong
quay mặt bước đi	mai tiến dũng	quay-mat-buoc-di-mai-tien-dung
dù ta không cùng nhau	dương minh kiệt	du-ta-khong-cung-nhau-duong-minh-kiet
lk đón xuân	trần hoàng hải	lk-don-xuan-tran-hoang-hai
anh không cam tâm đâu	joobee	anh-khong-cam-tam-dau-joobee
huyền babie	lt	huyen-babie-lt
yêu để em biết	minh hằng	yeu-de-em-biet-minh-hang
em hay lắm	phạm trưởng	em-hay-lam-pham-truong
cỏ mềm	phạm thu hà	co-mem-pham-thu-ha
vì ai buông lơi	phan đinh tùng	vi-ai-buong-loi-phan-dinh-tung
nắm tay anh lần cuối	chu bin	nam-tay-anh-lan-cuoi-chu-bin
ánh sáng nơi cuối đường	eddy việt lk	anh-sang-noi-cuoi-duong-lk-eddy-viet
tiếng ru chiều	đông quân	tieng-ru-chieu-dong-quan
liên khúc đắp mộ cuộc tình	khưu huy vũ	lien-khuc-dap-mo-cuoc-tinh-khuu-huy-vu
liệu ở đó em có nghe	krush phan tobby quốc trung	lieu-o-do-em-co-nghe-tobby-quoc-trung-krush-phan
em xin lỗi	nguyễn văn trung trọng phước	em-xin-loi-nguyen-van-trung-trong-phuoc
tỏa sáng	hoàng rapper	toa-sang-hoang-rapper
lạnh trọn đêm nay	tố my	lanh-tron-dem-nay-to-my
giữ mãi mùa xuân	eban tú	giu-mai-mua-xuan-eban-tu
chạy tìm lá non	minh sang	chay-tim-la-non-minh-sang
liên khúc lý bán chè	cô ú	lien-khuc-ly-ban-che-co-u
tài xế cho vợ tôi	thái hùng	tai-xe-cho-vo-toi-thai-hung
em đừng khóc	binz kimjoonshjn le thao lee	em-dung-khoc-binz-kimjoonshjn-le-thao-lee
ăn bánh trả tiền	lưu chí vỹ	an-banh-tra-tien-luu-chi-vy
chỉ có thể là yêu thôi	minh vương m4u	chi-co-the-la-yeu-thoi-minh-vuong-m4u
sút	karik trọng hiếu	sut-trong-hieu-karik
tấm hình	vĩnh thuyên kim	tam-hinh-vinh-thuyen-kim
liên khúc: trả nợ tình xa & giận hờn	lý hải	lien-khuc-tra-no-tinh-xa-gian-hon-ly-hai
vì sao em	tinna tình	vi-sao-em-tinna-tinh
ngựa ô thương nhớ	dương minh ngọc	ngua-o-thuong-nho-duong-minh-ngoc
mẹ ơi con rất yêu mẹ	bé hiển thông	me-oi-con-rat-yeu-me-be-hien-thong
rơi vào tình yêu	jason việt tiến	roi-vao-tinh-yeu-jason-viet-tien
hạnh phúc êm trôi	fm band	hanh-phuc-em-troi-fm
khi không còn em	anh minh super e	khi-khong-con-em-anh-minh-super-e
chỉ là người dưng	dc tâm	chi-la-nguoi-dung-dc-tam
tiếng hát học trò	ngọc hạ	tieng-hat-hoc-tro-ngoc-ha
nỗi đau đầu đời	hoa tường vi	noi-dau-dau-doi-hoa-tuong-vi
biển nghìn thu ở lại	thu phương	bien-nghin-thu-o-lai-thu-phuong
mọi chuyện đều ổn	mr reno	moi-chuyen-deu-on-mr-reno
hai ta đã bao lâu	d.a.n long ca	hai-ta-da-bao-lau-d-a-n-long-ca
như cần oxy (prod by astronormous)	klaw	nhu-can-oxy-prod-by-astronormous-klaw
xa rời hạnh phúc gian nan	hà lý gia phúc	xa-roi-hanh-phuc-gian-nan-ha-ly-gia-phuc
tình thơ ngây	ngô thanh vân	tinh-tho-ngay-ngo-thanh-van
ngày gặp lại em	ngô chí cường	ngay-gap-lai-em-ngo-chi-cuong
thế giới riêng anh là em	hồng dương	the-gioi-rieng-anh-la-em-hong-duong-m4u
gửi gió đến bên em	hàn minh	gui-gio-den-ben-em-han-minh
người ấy yêu em như thế nào	fony trung	nguoi-ay-yeu-em-nhu-the-nao-fony-trung
nắng chợt yêu	minh hằng	nang-chot-yeu-minh-hang
vô tình ta đã yêu	bằng cường	vo-tinh-ta-da-yeu-bang-cuong
mãi xa	hoàng nghiệp	mai-xa-hoang-nghiep
tìm lại bình yên	cao mỹ kim	tim-lai-binh-yen-cao-my-kim
điều kỳ diệu từ em	jay wang	dieu-ky-dieu-tu-em-jay-wang
lời chưa trao em	vũ vịnh huy	loi-chua-trao-em-vu-vinh-huy
rồi cũng phai nhòa	mtv nguyễn hoàng duy	roi-cung-phai-nhoa-mtv-nguyen-hoang-duy
lk người ở đừng về	bé võ hương giang lương nguyệt anh	lk-nguoi-o-dung-ve-luong-nguyet-anh-be-vo-huong-giang
xa vắng mùa đông	tuyết nhi tuấn trương	xa-vang-mua-dong-tuan-truong-tuyet-nhi
thật buồn	weeza	that-buon-weeza
lời nguyện cầu trong mưa tuyết	tống hạo nhiên	loi-nguyen-cau-trong-mua-tuyet-tong-hao-nhien
khúc yêu thương còn chờ	long nhật	khuc-yeu-thuong-con-cho-long-nhat
không đành	vũ đăng duy	khong-danh-vu-dang-duy
ở trong thành phố (masew mix)	b ray masew	o-trong-thanh-pho-masew-mix-b-ray-masew
tôi là người đàn ông	hoàng phi khanh	toi-la-nguoi-dan-ong-hoang-phi-khanh
mashup đò dọc con đường thiên lý	trịnh tú trung	mashup-do-doc-con-duong-thien-ly-trinh-tu-trung
sông vong xuyên hoa bĩ ngạn	anh duy	song-vong-xuyen-hoa-bi-ngan-anh-duy
ai đã xóa	jan saker	ai-da-xoa-jan-saker
tình lẻ bóng	tú quyên	tinh-le-bong-tu-quyen
nước mắt thôi rơi	nam hùng	nuoc-mat-thoi-roi-nam-hung
mộng	bỉ ngạn nương	mong-bi-ngan-nuong
thành phố sương mù	hoàng hoa	thanh-pho-suong-mu-hoang-hoa
quên đi chuyện tình hôm qua	cẩm ly	quen-di-chuyen-tinh-hom-qua-cam-ly
bới tung thế giới	trần yến nhi	boi-tung-the-gioi-tran-yen-nhi
còn yêu	anh quốc	con-yeu-anh-quoc
đêm gành hào	hoàng việt trang	dem-ganh-hao-hoang-viet-trang
có lẽ chỉ là giấc mơ	khánh phương	co-le-chi-la-giac-mo-khanh-phuong
không em anh phải sống sao	hứa huy thiên	khong-em-anh-phai-song-sao-hua-huy-thien
ngã ba tình	cẩm ly	nga-ba-tinh-cam-ly
phải cố quên đi người	chấn nguyên	phai-co-quen-di-nguoi-chan-nguyen
